,date,Username,text,Tweet Link,Retweets,Likes,TweetImageUrl,Image,clean_text,accounts_mentioned,hashtags
6850,2012-11-05 22:07:00,https://twitter.com/BarackObama,"President Obama tells the story of ""Fired up! Ready to go!"" at the final rally of his final campaign. http://OFA.BO/KCuzFy  #Forward",https://twitter.com/BarackObama/status/265696810234949632,1872,724,,,"President Obama tells the story of ""Fired up! Ready to go!"" at the final rally of his final campaign.",[],['Forward']
6849,2012-11-06 03:28:00,https://twitter.com/BarackObama,Election Day is here! Confirm your polling place and bring a friend with you to vote. http://OFA.BO/8QHTRN pic.twitter.com/qq2nQHFD,https://twitter.com/BarackObama/status/265777657088712705,6366,1837,https://pbs.twimg.com/media/A7A7XvhCIAAvgp-.jpg,,Election Day is here! Confirm your polling place and bring a friend with you to vote. pic.twitter.com/qq2nQHFD,[],[]
6848,2012-11-06 04:00:00,https://twitter.com/BarackObama,It’s Election Day! This is your last chance to help win this thing—RT this link so your friends know where to vote: http://OFA.BO/chM7LH ,https://twitter.com/BarackObama/status/265785848665100289,8835,698,,,It’s Election Day! This is your last chance to help win this thing—RT this link so your friends know where to vote:,[],[]
6847,2012-11-06 04:49:00,https://twitter.com/BarackObama,"At the final rally of his final campaign last night President Obama told the story of ""Fired up! Ready to go!""http://OFA.BO/sicHFt ",https://twitter.com/BarackObama/status/265798182842273792,1393,503,,,"At the final rally of his final campaign last night President Obama told the story of ""Fired up! Ready to go!""",[],[]
6846,2012-11-06 05:12:00,https://twitter.com/BarackObama,25 reasons that 25 people are voting for President Obama: http://OFA.BO/ekGNph ,https://twitter.com/BarackObama/status/265803917131145216,2686,567,,,25 reasons that 25 people are voting for President Obama:,[],[]
6845,2012-11-06 05:39:00,https://twitter.com/BarackObama,Time to vote! Grab a friend to join you and head over to your polling place: http://OFA.BO/V4bf74 pic.twitter.com/bgoYhI3v,https://twitter.com/BarackObama/status/265810628319531008,4723,1686,https://pbs.twimg.com/media/A7BZW68CUAASrey.jpg,,Time to vote! Grab a friend to join you and head over to your polling place: pic.twitter.com/bgoYhI3v,[],[]
6844,2012-11-06 06:02:00,https://twitter.com/BarackObama,Check out a few voters’ reasons for supporting President Obama—then grab a friend and go #VoteObama: http://OFA.BO/EvkoBB ,https://twitter.com/BarackObama/status/265816369537351681,1112,322,,,Check out a few voters’ reasons for supporting President Obama—then grab a friend and go :,[],['VoteObama']
6843,2012-11-06 06:05:00,https://twitter.com/BarackObama,Amanda AK: “I am supporting President Obama as both a college student and a veteran because he has never given up on fighting for us.”,https://twitter.com/BarackObama/status/265817228384034816,1372,405,,,Amanda AK: “I am supporting President Obama as both a college student and a veteran because he has never given up on fighting for us.”,[],[]
6842,2012-11-06 06:10:00,https://twitter.com/BarackObama,“I am a military wife with 6 children and the added Pell Grant benefit has afforded our family to allow me to go back to school.”—Amy FL,https://twitter.com/BarackObama/status/265818490974392320,1201,364,,,“I am a military wife with 6 children and the added Pell Grant benefit has afforded our family to allow me to go back to school.”—Amy FL,[],[]
6841,2012-11-06 06:16:00,https://twitter.com/BarackObama,“It's been years since I've felt connected at any level to a president.”—Gabe OH who voted McCain in ’08 but is voting Obama-Biden in 2012,https://twitter.com/BarackObama/status/265819832459608064,1439,470,,,“It's been years since I've felt connected at any level to a president.”—Gabe OH who voted McCain in ’08 but is voting Obama-Biden in 2012,[],[]
